bom_id|seq_num|level|part_num|part_version|part_name|part_family|part_name_zh
V362C_2Row_43|1|99|2776616|1|ASM 2nd ROW CAPTAIN SEAT LH Captain座椅总成  左||
V362C_2Row_43|2|99|2776620|1|ASM 2nd ROW CAPTAIN SEAT RH Captain座椅总成 右||
V362C_2Row_43|3|1|2776635|1 2 3|ASM BACK FRAM LH 靠背总成 左||
V362C_2Row_43|4|1|2776638|1 2 3|ASM BACK FRAM RH 靠背总成 右||
V362C_2Row_43|5|2|2833161|1 2|Sub-ASM BACK FRAME 靠背骨架焊接总成||
V362C_2Row_43|6|3|2833212|2 3 4 5|ASM SIDE PIECE LH 靠背边板焊接总成 左||
V362C_2Row_43|7|4|2776526|1  2|RECLINER_V362C_CAPTAIN_FA_LH 调角器焊接总成 左||
V362C_2Row_43|8|5|2776518|1 2|LOWER_BRACKET_WELDING_ASSY_LH 调角器下边板焊接总成 左||
V362C_2Row_43|9|6|2776517|1 2|BUSH 回位弹簧套管||
V362C_2Row_43|10|6|2776511|1|LOWER_BRACKET_LH 调角器下边板 左||
V362C_2Row_43|11|5|3243410|1|ASM UPPER_BRACKET LH 调角器上边板焊接总成 左||
V362C_2Row_43|12|5|2776589|1|UPPER_BRACKET LH 调角器上边板 左||
V362C_2Row_43|13|6|3228898|1|Recliner connect pin  调角器连接销||
V362C_2Row_43|14|5|2545976|1|L2000D LH 调角器核心件 左||
V362C_2Row_43|15|4|2774937|2 3|SIDE PIECE BACKREST LH 靠背边板 左||
V362C_2Row_43|16|4|3228943|1|SIDE PIECE BACKREST LH 靠背边板 左||
V362C_2Row_43|17|4|2946804|1 2 3|backrest side member reinforcement bracket LH 靠背边板加强支架 左||
V362C_2Row_43|18|4|3015328|1|Armrest reinforcement bracket LH  扶手加强支架 左||
V362C_2Row_43|19|3|2833278|2 3 4 5|ASM SIDE PIECE RH 靠背边板焊接总成 右||
V362C_2Row_43|20|4|2776527|1 2|RECLINER_V362C_CAPTAIN_FA_RH 调角器焊接总成 右||
V362C_2Row_43|21|5|2776519|1 2|LOWER_BRACKET_WELDING_ASSY_RH 调角器下边板焊接总成 右||
V362C_2Row_43|22|6|2776517|1 2|BUSH 回位弹簧套管||
V362C_2Row_43|23|6|2776514|1|LOWER_BRACKET_RH 调角器下边板 右||
V362C_2Row_43|24|5|3243411|1|RECLINER_V362C_CAPTAIN_FA_RH 调角器焊接总成 右||
V362C_2Row_43|25|5|3156117|1|UPPER_BRACKET RH 调角器上边板 右||
V362C_2Row_43|26|6|3228898|1|Recliner connect pin  调角器连接销||
V362C_2Row_43|27|5|2545978|1|L2000D RH 调角器核心件 右||
V362C_2Row_43|28|4|2774923|2 3|SIDE PIECE BACKREST RH 靠背边板 右||
V362C_2Row_43|29|4|3228944|1|SIDE PIECE BACKREST RH 靠背边板 右||
V362C_2Row_43|30|4|2946805|1 2 3|backrest side member reinforcement bracket RH 靠背边板加强支架 右||
V362C_2Row_43|31|4|3015332|1|Armrest reinforcement bracket RH  扶手加强支架 右||
V362C_2Row_43|32|3|3048815|1|Cross tube for armrest strength  扶手强度横管||
V362C_2Row_43|33|3|2774916|2|REINFORCEMENT BACKREST(LH) 靠背上横板加强支架 左||
V362C_2Row_43|34|3|2774894|2|REINFORCEMENT BACKREST(RH) 靠背上横板加强支架 右||
V362C_2Row_43|35|3|2774870|2 3|BACK FRAME CROSS MEMBER UPPER 靠背上横板||
V362C_2Row_43|36|3|2833243|1 2|BACK FRAME CROSS MEMBER LOWER 靠背下横板||
V362C_2Row_43|37|3|2776229|2|BRACKET (RH) 靠背下横板支撑支架 左||
V362C_2Row_43|38|3|2776231|2|BRACKET (LH) 靠背下横板支撑支架 右||
V362C_2Row_43|39|2|2776640|1|TRANS_TUBE_WELDING_ASSY 调角器连杆总成||
V362C_2Row_43|40|3|2776648|1|TRANS_TUBE_KN161 连杆||
V362C_2Row_43|41|3|2868766|1|SHAFT_HANDLE 手柄把手||
V362C_2Row_43|42|3|2776652|1|RETURN_SPRING_LIMITER 回位弹簧限位支架||
V362C_2Row_43|43|2|2776507|1|CLOCK SPRING 卷簧||
V362C_2Row_43|44|2|2776641|1|HOLDER_RETURN_SPRING 回位弹簧支撑塑料件||
V362C_2Row_43|45|2|2776642|1|RETURN_SPRING_LH 回位弹簧 左||
V362C_2Row_43|46|2|2776647|1|RETURN_SPRING_RH 回位弹簧 右||
V362C_2Row_43|47|2|2776236|2|retainer 卡圈||
V362C_2Row_43|48|2|2776540|2|suspension 靠背腰托||
V362C_2Row_43|49|2|2776532|1|FIX CLIP LB 腰托挂接卡子||
V362C_2Row_43|50|2|3263518|1|MASS DAMPER 减震器||
V362C_2Row_43|51|2|3263675|1|K50 taping screw自攻螺钉||
V362C_2Row_43|52|2|3123739|1|ASM BACK FRAM label LH 靠背骨架标签 左||
V362C_2Row_43|53|2|3123740|1|ASM BACK FRAM label RH 靠背骨架标签 右||
V362C_2Row_43|54|1|2835162|1 2 3|ASM CUSHION FRAME LH 座骨架总成 左||
V362C_2Row_43|55|2|2956460|1 2 3 4 5|ASM CUSHION FRAME W/O TRACK LH 座骨架装配分总成 左||
V362C_2Row_43|56|3|2835200|1 2 3|ASM TUBE FRAME W/O ISOFIX LH  座骨架焊接总成 左||
V362C_2Row_43|57|4|2952637|1 2 3|ASM TUBE FRAME W/O Top tether LH 座骨架焊接分总成 左||
V362C_2Row_43|58|5|2852347|1 2 3|SUB ASM TUBE FRAME W/O Top tether LH 下座框焊接总成 左||
V362C_2Row_43|59|6|2874232|1 2 3 4|Left seat ASM SIDE TUBE FRAME LH 左椅横管焊接总成 左||
V362C_2Row_43|60|7|2874309|1 2|REAR TUBE 后横管||
V362C_2Row_43|61|7|2874313|1 2|FRONT TUBE 前横管||
V362C_2Row_43|62|7|2874325|1|side bracket_valance OB  外侧边板支架||
V362C_2Row_43|63|7|2874359|1|FRONT BRACKET  前脚板支架||
V362C_2Row_43|64|7|2874362|1|FRONT REINFORCEMENT LH 前侧加强支架 左||
V362C_2Row_43|65|7|2874368|1 2|REAR REINFORCEMENT BRACKET LH 后侧加强支架 左||
V362C_2Row_43|66|7|2874418|1|side bracket_valance IB  后护板支撑支架||
V362C_2Row_43|67|6|2874250|1 2 3 4|Left seat ASM SIDE TUBE FRAME RH 左椅横管焊接总成 右||
V362C_2Row_43|68|7|2874309|1 2|REAR TUBE 后横管||
V362C_2Row_43|69|7|2874313|1 2|FRONT TUBE 前横管||
V362C_2Row_43|70|7|2874410|1|SIDE BRACKET IB  内侧边板支架||
V362C_2Row_43|71|7|2874359|1|FRONT BRACKET  前脚板支架||
V362C_2Row_43|72|7|2874413|1|FRONT REINFORCEMENT RH 前侧加强支架 右||
V362C_2Row_43|73|7|2874415|1 2|REAR REINFORCEMENT BRACKET RH 后侧加强支架 右||
V362C_2Row_43|74|7|2874418|1|side bracket_valance IB  后护板支撑支架||
V362C_2Row_43|75|6|2952648|1|Sub-ASM tube with buckle bracket  LH 后侧下横管焊接总成 左||
V362C_2Row_43|76|7|2874264|1|buckle bracket with welding nut LH 安全带锁扣支架焊接总成 左||
V362C_2Row_43|77|8|2874295|1|welding nut 内六角凸焊螺母||
V362C_2Row_43|78|8|2874284|1|buckle bracket LH 安全带锁扣支架 左||
V362C_2Row_43|79|7|2874262|1|rear cross tube  后侧下横管||
V362C_2Row_43|80|6|2874260|1|FRONT CROSS MEMBER  前横板||
V362C_2Row_43|81|6|2852350|1|REAR CROSS MEMBER LH 后侧加强横管 左||
V362C_2Row_43|82|5|2852351|1 2|ASM SIDE PIECE WITH CROSS TUBE LH 上座框焊接总成 左||
V362C_2Row_43|83|6|3228901|1|Upper cushion reinforcement between cross tube and sidemember 上座框加强件||
V362C_2Row_43|84|6|2920263|1|SIDE MEMBER LH 座边板 左||
V362C_2Row_43|85|6|2920303|1|SIDE MEMBER RH 座边板 右||
V362C_2Row_43|86|6|2920264|1|SUPPORT BKT LH 线束支撑支架 左||
V362C_2Row_43|87|6|2920261|1|REAR UPPER CROSS TUBE CUSHION  上座框后横管||
V362C_2Row_43|88|6|2920262|1|FRONT STRENGTH TUBE  上座框前横管||
V362C_2Row_43|89|5|2852348|1 2|FRONT REINFORCEMENT BRACKET 前侧上加强支架||
V362C_2Row_43|90|5|2852349|1|REAR SUPPORT BRACKET 后侧支撑支架||
V362C_2Row_43|91|4|2874210|1 2|REAR bracket_valance 儿童座椅下固定点支撑支架||
V362C_2Row_43|92|4|2851355|1|strength wire LH 座骨架加强钢丝 左||
V362C_2Row_43|93|3|2851360|1 2|ASM TOWELBAR WITH TWO WIRE LH 滑轨解锁机构总成 左||
V362C_2Row_43|94|4|2920357|1 2|TOWEL BAR WELD ASM LH 滑轨解锁机构焊接总成 左||
V362C_2Row_43|95|5|2970324|1|ASM LEVER OPERATE WITH CABLE RIVET LH 滑轨解锁支架铆接总成 左||
V362C_2Row_43|96|6|2920463|1|LEVER OPERATE(TOWEL BAR) 滑轨解锁支架||
V362C_2Row_43|97|6|2920466|1|CABLE RIVET 铆接钉||
V362C_2Row_43|98|5|2920465|1 2|LEVER ACTUATING  解锁横管||
V362C_2Row_43|99|5|2920463|1|LEVER OPERATE(TOWEL BAR) 滑轨解锁支架||
V362C_2Row_43|100|4|2920358|1|CAP  解锁端盖||
V362C_2Row_43|101|3|2921033|1 2 3 4|ASM Left seat track upper reinforcement LH 左椅L板总成 左||
V362C_2Row_43|102|4|2921094|1 2 3|track upper reinforcement with welding nut LH L板凸焊总成 左||
V362C_2Row_43|103|5|2921254|1 2 3|track upper reinforcement LH L板 左||
V362C_2Row_43|104|5|2920348|1|NUT WELDING (M8 ) 凸焊方螺母||
V362C_2Row_43|105|4|2921095|1|LEVER ACTUATING BRACKET LH 解锁横管支架 左||
V362C_2Row_43|106|4|2921130|1|CABLE BRACKET LH 线束接头支撑支架 左||
V362C_2Row_43|107|4|2921098|1|FRONT LOWER BRACKET LH OB 前外侧支架 左||
V362C_2Row_43|108|4|3228902|1|L bracket rear reinforcement LH L板后侧加强支架 左||
V362C_2Row_43|109|3|2921065|1 2 3 4|ASM Left seat track upper reinforcement RH 左椅L板总成 右||
V362C_2Row_43|110|4|2921101|1 2 3|track upper reinforcement with welding nut RH L板凸焊总成 右||
V362C_2Row_43|111|5|2921269|1 2 3|track upper reinforcement RH L板 右||
V362C_2Row_43|112|5|2920348|1|NUT WELDING (M8 ) 凸焊方螺母||
V362C_2Row_43|113|4|2970348|1|LEVER ACTUATING BRACKET RH 解锁横管支架 右||
V362C_2Row_43|114|4|2921132|1|FRONT LOWER BRACKET LH IB 前内侧支架 左||
V362C_2Row_43|115|4|3228903|1|L bracket rear reinforcement RH L板后侧加强支架 右||
V362C_2Row_43|116|3|2970338|1 2|TOWEL BAR TORSION SPRING LH 解锁扭力弹簧 左||
V362C_2Row_43|117|3|2970343|1 2|TOWEL BAR TORSION SPRING RH 解锁扭力弹簧 右||
V362C_2Row_43|118|3|2920672|1|BUSHING CLIP 解锁衬套||
V362C_2Row_43|119|3|2775360|1|CABLE RELEASE MECHANISIM FIXED SCREW 线束固定螺钉(M6)||
V362C_2Row_43|120|3|2835543|1 2|CABLE RELEASE MECHANISIM LH 线束 左||
V362C_2Row_43|121|3|380114|1|TIE WRAP 扎带（沿用Y483项目上的）||
V362C_2Row_43|122|3|2093138|1|CABLE TIE  扎带（沿用U375项目上的）||
V362C_2Row_43|123|3|2835218|1 2|SCREW PAN HEAD (M8) 螺栓M8||
V362C_2Row_43|124|3|348734|1|GREASE / KLUBBER ISOFLEX L32 油脂||
V362C_2Row_43|125|2|2835201|1|ASM CUSHION PAN WITH CROSS MEMBER 座盘焊接总成||
V362C_2Row_43|126|3|2920321|1|ASM CROSSMEMBER 座盘下支撑板总成||
V362C_2Row_43|127|4|2920330|1|SUB ASM CROSSMEMBER 座盘下支撑板凸焊总成||
V362C_2Row_43|128|5|2920342|1|CROSS MEMBER 座盘下支撑板||
V362C_2Row_43|129|5|2920348|1|NUT WELDING (M8 ) 凸焊方螺母||
V362C_2Row_43|130|4|2920337|1|FRONT VALANCE BRACKET LH 前护板支撑支架 左||
V362C_2Row_43|131|4|2920340|1|FRONT VALANCE BRACKET RH 前护板支撑支架 右||
V362C_2Row_43|132|3|2920319|1|CUSHION PAN 座盘||
V362C_2Row_43|133|2|2835546|1 2 3|Left seat ASM TRACK MANUAL LH 左椅滑轨总成 左||
V362C_2Row_43|134|3|3104638|1 2 3|Left seat sub-ASM TRACK MANUAL LH 左椅滑轨分总成 左||
V362C_2Row_43|135|4|2920677|1 2 3 4|ASM FLOOR BRACKET FRONT OUTBOARD LH  SEAT 左椅外侧脚板总成||
V362C_2Row_43|136|5|2921026|1 2|FLOATING WASHER 脚板浮动垫片||
V362C_2Row_43|137|5|2921027|1 2|CLIP LOCKING 浮动垫片固定塑料件||
V362C_2Row_43|138|5|2921339|1|COVER BRKT RIVET   滑轨盖板支架铆接钉||
V362C_2Row_43|139|5|2921286|1 2 3 4|FLOOR BRACKET FRONT OUTBOARD LH SEAT 左椅外侧前脚板||
V362C_2Row_43|140|5|2921294|1 2 3|Small cover bracket LH 滑轨盖板支撑小支架 左||
V362C_2Row_43|141|5|2921332|1 2 3|Small cover bracket RH 滑轨盖板支撑小支架 右||
V362C_2Row_43|142|5|2921333|1 2 3|Cover bracket for hook LH 滑轨盖板卡扣支撑支架 左||
V362C_2Row_43|143|5|2921335|1 2 3|Cover bracket for hook RH 滑轨盖板卡扣支撑支架 右||
V362C_2Row_43|144|4|2920679|1 2 3 4|ASM FLOOR BRACKET REAR OUTBOARD LH SEAT 左椅外侧后脚板总成||
V362C_2Row_43|145|5|2921026|1 2|FLOATING WASHER 脚板浮动垫片||
V362C_2Row_43|146|5|2921027|1 2|CLIP LOCKING 浮动垫片固定片||
V362C_2Row_43|147|5|2921339|1|FLOATING WASHER RIVET   脚板浮动垫片铆接钉||
V362C_2Row_43|148|5|2921351|1 2 3 4|FLOOR BRACKET REAR OUTBOARD LH SEAT 左椅外侧后脚板||
V362C_2Row_43|149|5|2921353|1 2 3|Big cover bracket LH 滑轨盖板支撑大支架 左||
V362C_2Row_43|150|5|2921364|1 2 3|Big cover bracket RH 滑轨盖板支撑大支架 右||
V362C_2Row_43|151|4|3098119|1|ASM REINFORCEMENT COMPLETE LH 滑轨下加强件总成 左||
V362C_2Row_43|152|5|3104884|1|ASM REINFORCEMENT WELDED WITH MIDDLE BRKT LH 滑轨下加强件焊接总成 左||
V362C_2Row_43|153|6|3098116|1|REINFORCEMENT LH 滑轨下加强件 左||
V362C_2Row_43|154|6|3098112|1|MIDDLE BRKT LH 中间滑轨盖板支撑支架 左||
V362C_2Row_43|155|6|3098113|1|MIDDLE BRKT RH 中间滑轨盖板支撑支架 右||
V362C_2Row_43|156|5|3104873|1|FELT TAPE (12,5x50x0,3)                                                   粘布(12,5x50x0,3)||
V362C_2Row_43|157|5|3104878|1|FELT TAPE (25x50x0,3)                                                 粘布 (25x50x0,3)||
V362C_2Row_43|158|5|3104881|1|FELT TAPE (12,5x100x03)         粘布 (12,5x100x03)||
V362C_2Row_43|159|4|3098121|1|MA SLIDE  LH 滑轨核心件 左||
V362C_2Row_43|160|4|2920686|1 2|TRACK RISER RIVET 滑轨铆接钉||
V362C_2Row_43|161|3|3098109|1|ENGAGEMENT LH 滑轨上加强件 左||
V362C_2Row_43|162|3|3104794|1|UNLOCKING DAMPER 滑轨解锁片||
V362C_2Row_43|163|3|3104801|1|SPRING TORSION LH 扭力弹簧 左||
V362C_2Row_43|164|3|348734|1|GREASE / KLUBBER ISOFLEX L32 油脂||
V362C_2Row_43|165|2|2835548|1 2 3|Left seat ASM TRACK MANUAL RH 左椅滑轨总成 右||
V362C_2Row_43|166|3|3104641|1 2 3|Left seat sub-ASM TRACK MANUAL RH 左椅滑轨分总成 右||
V362C_2Row_43|167|4|2921052|1 2 3 4|ASM FLOOR BRACKET FRONT INBOARD LH  SEAT 左椅内侧前脚板总成||
V362C_2Row_43|168|5|2921385|1 2 3 4|FLOOR BRACKET FRONT INBOARD LH SEAT 左椅内侧前脚板||
V362C_2Row_43|169|5|2921294|1 2 3|Small cover bracket LH 滑轨盖板支撑小支架 左||
V362C_2Row_43|170|5|2921333|1 2 3|Cover bracket for hook LH 滑轨盖板卡扣支撑支架 左||
V362C_2Row_43|171|5|2921353|1 2 3|Big cover bracket LH 滑轨盖板支撑大支架 左||
V362C_2Row_43|172|4|2921056|1 2 3 4|ASM FLOOR BRACKET REAR INBOARD LH SEAT 左椅内侧后脚板总成||
V362C_2Row_43|173|5|3104814|1 2|WELD ASM FLOOR BRACKET REAR INBOARD LH SEAT 左椅内侧后脚板滑轨盖板支架焊接总成||
V362C_2Row_43|174|6|3104821|1 2|FLAT BRACKET 平支架||
V362C_2Row_43|175|6|2921332|1 2 3|Small cover bracket RH 滑轨盖板支撑小支架 右||
V362C_2Row_43|176|6|2921335|1 2 3|Cover bracket for hook RH 滑轨盖板卡扣支撑支架 右||
V362C_2Row_43|177|5|2921428|1 2 3 4|FLOOR BRACKET REAR INBOARD LH SEAT 左椅内侧后脚板||
V362C_2Row_43|178|5|2921364|1 2 3|Big cover bracket RH 滑轨盖板支撑大支架 右||
V362C_2Row_43|179|4|3098120|1|ASM REINFORCEMENT COMPLETE RH 滑轨下加强件总成 右||
V362C_2Row_43|180|5|3104894|1|ASM REINFORCEMENT WELDED WITH MIDDLE BRKT RH 滑轨下加强件焊接总成 右||
V362C_2Row_43|181|6|3098118|1|REINFORCEMENT RH 滑轨下加强件 右||
V362C_2Row_43|182|6|3098112|1|MIDDLE BRKT LH 中间滑轨盖板支撑支架 左||
V362C_2Row_43|183|6|3098113|1|MIDDLE BRKT RH 中间滑轨盖板支撑支架 右||
V362C_2Row_43|184|5|3104873|1|FELT TAPE (12,5x50x0,3)                                                   粘布(12,5x50x0,3)||
V362C_2Row_43|185|5|3104878|1|FELT TAPE (25x50x0,3)                                                 粘布 (25x50x0,3)||
V362C_2Row_43|186|5|3104881|1|FELT TAPE (12,5x100x03)         粘布 (12,5x100x03)||
V362C_2Row_43|187|4|2920686|1 2|TRACK RISER RIVET 滑轨铆接钉||
V362C_2Row_43|188|4|3098122|1|MA SLIDE  RH 滑轨核心件 右||
V362C_2Row_43|189|4|2921431|1|REAR STRENGTH WASHER 后侧脚板浮动垫片||
V362C_2Row_43|190|3|2921028|1|Location pin slot plastic clip 椭圆形定位销塑料卡子||
V362C_2Row_43|191|3|2921030|1|Location pin plastic clip 圆形定位销卡子||
V362C_2Row_43|192|3|3098110|1|ENGAGEMENT RH 滑轨上加强件 右||
V362C_2Row_43|193|3|3104794|1|UNLOCKING DAMPER 滑轨解锁片||
V362C_2Row_43|194|3|3104805|1|SPRING TORSION RH 扭力弹簧 右||
V362C_2Row_43|195|3|348734|1|GREASE / KLUBBER ISOFLEX L32 油脂||
V362C_2Row_43|196|2|2835218|1 2|SCREW PAN HEAD (M8) 螺栓M8||
V362C_2Row_43|197|2|2778674|1|BEARING CUSHION PAN 座盘支撑塑料件||
V362C_2Row_43|198|2|2835306 2778671|1|SCREW fixing PLASTIC 座盘支撑件紧固螺钉||
V362C_2Row_43|199|2|2921041|1|SCREW SELF LOCKING M9 滑轨固定螺栓 M9||
V362C_2Row_43|200|2|2921045|1|NUT SQUARE STANDARD M9 滑轨固定螺母||
V362C_2Row_43|201|2|3123742|1|ASM CUSHION FRAME label LH 座骨架总成标签 左||
V362C_2Row_43|202|1|2835164|1 2 3|ASM CUSHION FRAME RH 座骨架总成 右||
V362C_2Row_43|203|2|2956463|1 2 3 4 5|ASM CUSHION FRAME W/O TRACK RH 座骨架装配分总成 右||
V362C_2Row_43|204|3|2851891|1 2 3|ASM TUBE FRAME W ISOFIX RH 座骨架焊接总成 右||
V362C_2Row_43|205|4|2952642|1 2 3|ASM TUBE FRAME W Top tether RH 座骨架焊接分总成 右||
V362C_2Row_43|206|5|2852354|1 2 3|SUB ASM TUBE FRAME W Top tether RH 下座框焊接总成 右||
V362C_2Row_43|207|6|2874253|1 2 3 4|Right seat ASM SIDE TUBE FRAME LH 右椅横管焊接总成 左||
V362C_2Row_43|208|7|2874309|1 2|REAR TUBE 后横管||
V362C_2Row_43|209|7|2874313|1 2|FRONT TUBE 前横管||
V362C_2Row_43|210|7|2874410|1|SIDE BRACKET IB  内侧边板支架||
V362C_2Row_43|211|7|2874359|1|FRONT BRACKET  前脚板支架||
V362C_2Row_43|212|7|2874362|1|FRONT REINFORCEMENT LH 前侧加强支架 左||
V362C_2Row_43|213|7|2874368|1 2|REAR REINFORCEMENT BRACKET LH 后侧加强支架 左||
V362C_2Row_43|214|7|2874418|1|side bracket_valance IB  后护板支撑支架||
V362C_2Row_43|215|6|2874255|1 2 3 4|Right seat ASM SIDE TUBE FRAME RH 右椅横管焊接总成 右||
V362C_2Row_43|216|7|2874309|1 2|REAR TUBE 后横管||
V362C_2Row_43|217|7|2874313|1 2|FRONT TUBE 前横管||
V362C_2Row_43|218|7|2874325|1|side bracket_valance OB  外侧边板支架||
V362C_2Row_43|219|7|2874359|1|FRONT BRACKET  前脚板支架||
V362C_2Row_43|220|7|2874413|1|FRONT REINFORCEMENT RH 前侧加强支架 右||
V362C_2Row_43|221|7|2874415|1 2|REAR REINFORCEMENT BRACKET RH 后侧加强支架 右||
V362C_2Row_43|222|7|2874418|1|side bracket_valance IB  后护板支撑支架||
V362C_2Row_43|223|6|2952654|1|Sub-ASM tube with buckle bracket and Top tether RH 后侧下横管焊接总成 右||
V362C_2Row_43|224|7|2874271|1|buckle bracket with welding nut RH 安全带锁扣支架焊接总成 右||
V362C_2Row_43|225|8|2874295|1|welding nut 内六角凸焊螺母||
V362C_2Row_43|226|8|2874299|1|buckle bracket RH 安全带锁扣支架 右||
V362C_2Row_43|227|7|2874262|1|rear cross tube  后侧下横管||
V362C_2Row_43|228|7|2920260|1|Top tether 儿童座椅上固定点支架||
V362C_2Row_43|229|6|2874260|1|FRONT CROSS MEMBER  前横板||
V362C_2Row_43|230|6|2852355|1|REAR CROSS MEMBER RH 后侧加强横管 右||
V362C_2Row_43|231|5|2852356|1 2|ASM SIDE PIECE WITH CROSS TUBE RH 上座框焊接总成 右||
V362C_2Row_43|232|6|3228901|1|Upper cushion reinforcement between cross tube and sidemember 上座框加强件||
V362C_2Row_43|233|6|2920263|1|SIDE MEMBER LH 座边板 左||
V362C_2Row_43|234|6|2920303|1|SIDE MEMBER RH 座边板 右||
V362C_2Row_43|235|6|2920305|1|SUPPORT BKT RH 线束支撑支架 右||
V362C_2Row_43|236|6|2920261|1|REAR UPPER CROSS TUBE CUSHION  上座框后横管||
V362C_2Row_43|237|6|2920262|1|FRONT STRENGTH TUBE  上座框前横管||
V362C_2Row_43|238|5|2852348|1 2|FRONT REINFORCEMENT BRACKET 前侧上加强支架||
V362C_2Row_43|239|5|2852349|1|REAR SUPPORT BRACKET 后侧支撑支架||
V362C_2Row_43|240|4|2874192|1 2|WG Ibracket isofix 儿童座椅下固定点支架焊接总成||
V362C_2Row_43|241|5|2874210|1 2|REAR bracket_valance 儿童座椅下固定点支撑支架||
V362C_2Row_43|242|5|2874211|1|ISOFIX 儿童座椅下固定点支架||
V362C_2Row_43|243|4|2852323|1|strength wire RH 座骨架加强钢丝 右||
V362C_2Row_43|244|3|2852329|1 2|ASM TOWELBAR WITH TWO WIRE RH 滑轨解锁机构总成 右||
V362C_2Row_43|245|4|2920472|1 2|TOWEL BAR WELD ASM RH 滑轨解锁机构焊接总成 右||
V362C_2Row_43|246|5|2970329|1|ASM LEVER OPERATE WITH CABLE RIVET RH 滑轨解锁支架铆接总成 右||
V362C_2Row_43|247|6|2920463|1|LEVER OPERATE(TOWEL BAR) 滑轨解锁支架||
V362C_2Row_43|248|6|2920466|1|CABLE RIVET 铆接钉||
V362C_2Row_43|249|5|2920465|1 2|LEVER ACTUATING  解锁横管||
V362C_2Row_43|250|5|2920463|1|LEVER OPERATE(TOWEL BAR) 滑轨解锁支架||
V362C_2Row_43|251|4|2920358|1|CAP  解锁端盖||
V362C_2Row_43|252|3|2921078|1 2 3 4|ASM Right seat track upper reinforcement LH 右椅L板总成 左||
V362C_2Row_43|253|4|2921094|1 2 3|track upper reinforcement with welding nut LH L板凸焊总成 左||
V362C_2Row_43|254|5|2921254|1 2 3|track upper reinforcement LH L板 左||
V362C_2Row_43|255|5|2920348|1|NUT WELDING (M8 ) 凸焊方螺母||
V362C_2Row_43|256|4|2921095|1|LEVER ACTUATING BRACKET LH 解锁横管支架 左||
V362C_2Row_43|257|4|2921145|1|FRONT LOWER BRACKET RH IB 前内侧支架 右||
V362C_2Row_43|258|4|3228902|1|L bracket rear reinforcement LH L板后侧加强支架 左||
V362C_2Row_43|259|3|2921093|1 2 3 4|ASM Right seat track upper reinforcement RH 右椅L板总成 右||
V362C_2Row_43|260|4|2921101|1 2 3|track upper reinforcement with welding nut RH L板凸焊总成 右||
V362C_2Row_43|261|5|2921269|1 2 3|track upper reinforcement RH L板 右||
V362C_2Row_43|262|5|2920348|1|NUT WELDING (M8 ) 凸焊方螺母||
V362C_2Row_43|263|4|2970348|1|LEVER ACTUATING BRACKET RH 解锁横管支架 右||
V362C_2Row_43|264|4|2921144|1|CABLE BRACKET RH 线束接头支撑支架 右||
V362C_2Row_43|265|4|2921146|1|FRONT LOWER BRACKET RH OB 前外侧支架 右||
V362C_2Row_43|266|4|3228903|1|L bracket rear reinforcement RH L板后侧加强支架 右||
V362C_2Row_43|267|3|2775360|1|CABLE RELEASE MECHANISIM FIXED SCREW 线束固定螺钉||
V362C_2Row_43|268|3|2970338|1 2|TOWEL BAR TORSION SPRING LH 解锁扭力弹簧 左||
V362C_2Row_43|269|3|2970343|1 2|TOWEL BAR TORSION SPRING RH 解锁扭力弹簧 右||
V362C_2Row_43|270|3|2920672|1|BUSHING CLIP 解锁衬套||
V362C_2Row_43|271|3|2852326|1 2|CABLE RELEASE MECHANISIM RH 线束 右||
V362C_2Row_43|272|3|380114|1|TIE WRAP 扎带（沿用Y483项目上的）||
V362C_2Row_43|273|3|2093138|1|CABLE TIE  扎带（沿用U375项目上的）||
V362C_2Row_43|274|3|2835218|1 2|SCREW PAN HEAD (M8) 螺栓M8||
V362C_2Row_43|275|3|348734|1|GREASE / KLUBBER ISOFLEX L32 油脂||
V362C_2Row_43|276|2|2835201|1|ASM CUSHION PAN WITH CROSS MEMBER 座盘焊接总成||
V362C_2Row_43|277|3|2920321|1|ASM CROSSMEMBER 座盘下支撑板总成||
V362C_2Row_43|278|4|2920330|1|SUB ASM CROSSMEMBER 座盘下支撑板凸焊总成||
V362C_2Row_43|279|5|2920342|1|CROSS MEMBER 座盘下支撑板||
V362C_2Row_43|280|5|2920348|1|NUT WELDING (M8 ) 凸焊方螺母||
V362C_2Row_43|281|4|2920337|1|FRONT VALANCE BRACKET LH 前护板支撑支架 左||
V362C_2Row_43|282|4|2920340|1|FRONT VALANCE BRACKET RH 前护板支撑支架 右||
V362C_2Row_43|283|3|2920319|1|CUSHION PAN 座盘||
V362C_2Row_43|284|2|2852332|1 2 3|Right seat ASM TRACK MANUAL LH 右椅滑轨总成 左||
V362C_2Row_43|285|3|3104642|1 2 3|Right seat sub-ASM TRACK MANUAL LH 右椅滑轨分总成 左||
V362C_2Row_43|286|4|2921070|1 2 3 4|ASM FLOOR BRACKET FRONT INBOARD RH  SEAT 右椅内侧前脚板总成||
V362C_2Row_43|287|5|2921400|1 2 3 4|FLOOR BRACKET FRONT INBOARD RH SEAT 右椅内侧前脚板||
V362C_2Row_43|288|5|2921332|1 2 3|Small cover bracket RH 滑轨盖板支撑小支架 右||
V362C_2Row_43|289|5|2921335|1 2 3|Cover bracket for hook RH 滑轨盖板卡扣支撑支架 右||
